Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
18220606,00000480,false,Rx,0,8,01,42,FE,FF,FF,FF,FF,FF,
18306981,00000481,false,Rx,0,8,40,42,FF,FF,FF,FF,FF,FF,
18311696,00000130,false,Rx,0,5,41,41,A1,0F,06,00,00,00,
18407022,000004C0,false,Rx,0,8,41,42,FF,FF,FF,FF,FF,FF,
18411854,00000130,false,Rx,0,5,41,41,A1,0F,17,00,00,00,
18502923,000004C1,false,Rx,0,8,56,52,FE,01,FF,FF,FF,FF,
18511713,00000130,false,Rx,0,5,41,41,A1,0F,28,00,00,00,
18592205,000004D6,false,Rx,0,8,60,42,FF,01,FF,FF,FF,FF,
18611702,00000130,false,Rx,0,5,41,41,A1,0F,39,00,00,00,
18689169,000004E0,false,Rx,0,8,61,42,FF,01,FF,FF,FF,FF,
18711732,00000130,false,Rx,0,5,41,41,A1,0F,4A,00,00,00,
18790461,000004E1,false,Rx,0,8,62,42,FE,01,FF,FF,FF,FF,
18811835,00000130,false,Rx,0,5,41,41,A1,0F,5B,00,00,00,
18890076,000004E2,false,Rx,0,8,67,42,FE,01,FF,FF,FF,FF,
18911830,00000130,false,Rx,0,5,41,41,A1,0F,7C,00,00,00,
18974808,000004E7,false,Rx,0,8,6D,52,FE,01,FF,FF,FF,FF,
19011727,00000130,false,Rx,0,5,41,41,A1,0F,8D,00,00,00,
19056608,000004ED,false,Rx,0,8,72,52,FE,01,FF,FF,FF,FF,
19111762,00000130,false,Rx,0,5,41,41,A1,0F,9E,00,00,00,
19142000,000004F2,false,Rx,0,8,73,52,FD,01,00,40,01,00,
19211770,00000130,false,Rx,0,5,41,41,A1,0F,A0,00,00,00,
19224293,000004F3,false,Rx,0,8,78,42,FE,01,FF,FF,FF,FF,
19311936,000004F8,false,Rx,0,8,00,42,FE,01,FF,FF,FF,FF,
19314075,00000130,false,Rx,0,5,41,41,A1,0F,B1,00,00,00,
19400999,00000480,false,Rx,0,8,01,42,FE,01,FF,FF,FF,FF,
19412977,00000130,false,Rx,0,5,41,41,A1,0F,C2,00,00,00,
19486745,00000481,false,Rx,0,8,40,42,FF,01,FF,FF,FF,FF,
19511775,00000130,false,Rx,0,5,41,41,A1,0F,D3,00,00,00,
19586912,000004C0,false,Rx,0,8,41,42,FF,01,30,01,EC,03,
19611812,00000130,false,Rx,0,5,41,41,A1,0F,E4,00,00,00,
19681731,000004C1,false,Rx,0,8,56,52,FE,01,FF,FF,FF,FF,
19711815,00000130,false,Rx,0,5,41,41,A1,0F,F5,00,00,00,
19780191,000004D6,false,Rx,0,8,60,42,FF,01,FF,FF,FF,FF,
19811795,00000130,false,Rx,0,5,41,41,A1,0F,06,00,00,00,
19834780,000003BD,false,Rx,0,2,FD,FF,00,00,00,00,00,00,
19867698,000004E0,false,Rx,0,8,61,42,FF,01,FF,FF,FF,FF,
19911809,00000130,false,Rx,0,5,41,41,A1,0F,17,00,00,00,
19949553,000004E1,false,Rx,0,8,62,42,FE,01,FF,FF,FF,FF,
20011815,00000130,false,Rx,0,5,41,41,A1,0F,28,00,00,00,
20050210,000004E2,false,Rx,0,8,67,42,FE,01,FF,FF,FF,FF,
20111759,00000130,false,Rx,0,5,41,41,A1,0F,39,00,00,00,
20141695,000004E7,false,Rx,0,8,6D,52,FE,01,FF,FF,FF,FF,
20211810,00000130,false,Rx,0,5,41,41,A1,0F,4A,00,00,00,
20236680,000004ED,false,Rx,0,8,72,52,FE,01,FF,FF,FF,FF,
20312074,00000130,false,Rx,0,5,41,41,A1,0F,5B,00,00,00,
20322101,000004F2,false,Rx,0,8,73,52,FD,01,00,40,01,00,
20404586,000004F3,false,Rx,0,8,78,42,FE,01,FF,FF,FF,FF,
20411827,00000130,false,Rx,0,5,41,41,A1,0F,7C,00,00,00,
20491772,000004F8,false,Rx,0,8,00,42,FE,01,FF,FF,FF,FF,
20511806,00000130,false,Rx,0,5,41,41,A1,0F,8D,00,00,00,
20581340,00000480,false,Rx,0,8,01,42,FE,01,FF,FF,FF,FF,
20611798,00000130,false,Rx,0,5,41,41,A1,0F,9E,00,00,00,
20666805,00000481,false,Rx,0,8,40,42,FF,01,FF,FF,FF,FF,
20711854,00000130,false,Rx,0,5,41,41,A1,0F,A0,00,00,00,
20767089,000004C0,false,Rx,0,8,41,42,FF,01,30,01,EC,03,
20811859,00000130,false,Rx,0,5,41,41,A1,0F,B1,00,00,00,
20860214,000004C1,false,Rx,0,8,56,52,FE,01,FF,FF,FF,FF,
20911864,00000130,false,Rx,0,5,41,41,A1,0F,C2,00,00,00,
20947693,000004D6,false,Rx,0,8,60,42,FF,01,FF,FF,FF,FF,
21011971,00000130,false,Rx,0,5,41,41,A1,0F,D3,00,00,00,
21048067,000004E0,false,Rx,0,8,61,42,FF,01,FF,FF,FF,FF,
21111922,00000130,false,Rx,0,5,41,41,A1,0F,E4,00,00,00,
21129437,000004E1,false,Rx,0,8,62,42,FE,01,FF,FF,FF,FF,
21211992,00000130,false,Rx,0,5,41,41,A1,0F,F5,00,00,00,
21231253,000004E2,false,Rx,0,8,67,42,FE,01,FF,FF,FF,FF,
21313086,00000130,false,Rx,0,5,41,41,A1,0F,06,00,00,00,
21330210,000004E7,false,Rx,0,8,6D,52,FE,01,FF,FF,FF,FF,
21412007,00000130,false,Rx,0,5,41,41,A1,0F,17,00,00,00,
21416928,000004ED,false,Rx,0,8,72,52,FE,01,FF,FF,FF,FF,
21502324,000004F2,false,Rx,0,8,73,52,FD,01,00,40,01,00,
21511958,00000130,false,Rx,0,5,41,41,A1,0F,28,00,00,00,
21584840,000004F3,false,Rx,0,8,78,42,FE,01,FF,FF,FF,FF,
21611894,00000130,false,Rx,0,5,41,41,A1,0F,39,00,00,00,
21671652,000004F8,false,Rx,0,8,00,42,FE,01,FF,FF,FF,FF,
